OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
164;"Overamstel";"Metro";"50 | 51";"50|51";7;"50 | 51 - Overamstel";"POINT(4.917802 52.331754)";"POINT(52.331754 4.917802)";4.917802;52.331754;
165;"Reigersbos";"Metro";"50 | 54";"50|54";7;"50 | 54 - Reigersbos";"POINT(4.974164 52.295619)";"POINT(52.295619 4.974164)";4.974164;52.295619;
166;"Station Sloterdijk";"Metro";"19 | 50 | 51";"19|50|51";7;"19 | 50 | 51 - Station Sloterdijk";"POINT(4.838885 52.388603)";"POINT(52.388603 4.838885)";4.838885;52.388603;
167;"Jan van Galenstraat";"Metro";"13 | 50 | 51";"13|50|51";7;"13 | 50 | 51 - Jan van Galenstraat";"POINT(4.835498 52.373127)";"POINT(52.373127 4.835498)";4.835498;52.373127;
168;"Burg. De Vlugtlaan";"Metro";"7 | 50 | 51";"07|50|51";7;"7 | 50 | 51 - Burg. De Vlugtlaan";"POINT(4.83788 52.378837)";"POINT(52.378837 4.83788)";4.83788;52.378837;
169;"Henk Sneevlietweg";"Metro";"50 | 51";"50|51";7;"50 | 51 - Henk Sneevlietweg";"POINT(4.834481 52.346543)";"POINT(52.346543 4.834481)";4.834481;52.346543;
170;"Heemstedestraat";"Metro";"2 | 50 | 51";"02|50|51";7;"2 | 50 | 51 - Heemstedestraat";"POINT(4.834334 52.351505)";"POINT(52.351505 4.834334)";4.834334;52.351505;
171;"Postjesweg";"Metro";"50 | 51";"50|51";7;"50 | 51 - Postjesweg";"POINT(4.833949 52.364866)";"POINT(52.364866 4.833949)";4.833949;52.364866;
172;"Amstelveenseweg";"Metro";"24 | 50 | 51";"24|50|51";7;"24 | 50 | 51 - Amstelveenseweg";"POINT(4.857271 52.338394)";"POINT(52.338394 4.857271)";4.857271;52.338394;
173;"Station RAI";"Metro";"4 | 50 | 51";"04|50|51";7;"4 | 50 | 51 - Station RAI";"POINT(4.890724 52.337006)";"POINT(52.337006 4.890724)";4.890724;52.337006;
174;"Strandvliet";"Metro";"50 | 54";"50|54";7;"50 | 54 - Strandvliet";"POINT(4.941468 52.318424)";"POINT(52.318424 4.941468)";4.941468;52.318424;
175;"Station Bijlmer ArenA";"Metro";"50 | 54";"50|54";7;"50 | 54 - Station Bijlmer ArenA";"POINT(4.947191 52.312132)";"POINT(52.312132 4.947191)";4.947191;52.312132;
176;"Bullewijk";"Metro";"50 | 54";"50|54";7;"50 | 54 - Bullewijk";"POINT(4.952102 52.3068)";"POINT(52.3068 4.952102)";4.952102;52.3068;
177;"Station Holendrecht";"Metro";"50 | 54";"50|54";7;"50 | 54 - Station Holendrecht";"POINT(4.95998 52.298182)";"POINT(52.298182 4.95998)";4.95998;52.298182;
178;"Station Duivendrecht";"Metro";"50 | 54";"50|54";7;"50 | 54 - Station Duivendrecht";"POINT(4.936487 52.323607)";"POINT(52.323607 4.936487)";4.936487;52.323607;
179;"De Boelelaan/VU";"Tram";"24";"24";5;"24 - De Boelelaan/VU";"POINT(4.8683844 52.3349118)";"POINT(52.3349118 4.8683844)";4.8683844;52.3349118;
180;"Van Boshuizenstraat";"Tram";"5 | 25";"05|25";5;"5 | 25 - Van Boshuizenstraat";"POINT(4.868966 52.325405)";"POINT(52.325405 4.868966)";4.868966;52.325405;
181;"Spaklerweg";"Metro";"51 | 53 | 54";"51|53|54";7;"51 | 53 | 54 - Spaklerweg";"POINT(4.920966 52.340042)";"POINT(52.340042 4.920966)";4.920966;52.340042;
182;"Centraal Station";"Metro";"2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54";"02|04|12|13|14|17|24|26|51|52|53|54";7;"2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54 - Centraal Station";"POINT(4.899773 52.378027)";"POINT(52.378027 4.899773)";4.899773;52.378027;
183;"Waterlooplein";"Metro";"14 | 51 | 53 | 54";"14|51|53|54";7;"14 | 51 | 53 | 54 - Waterlooplein";"POINT(4.902401 52.367349)";"POINT(52.367349 4.902401)";4.902401;52.367349;
184;"Weesperplein";"Metro";"1 | 7 | 19 | 51 | 53 | 54";"01|07|19|51|53|54";7;"1 | 7 | 19 | 51 | 53 | 54 - Weesperplein";"POINT(4.907978 52.361173)";"POINT(52.361173 4.907978)";4.907978;52.361173;
185;"Wibautstraat";"Metro";"51 | 53 | 54";"51|53|54";7;"51 | 53 | 54 - Wibautstraat";"POINT(4.912123 52.354333)";"POINT(52.354333 4.912123)";4.912123;52.354333;
186;"Olympiaweg";"Tram";"24";"24";5;"24 - Olympiaweg";"POINT(4.858524 52.345272)";"POINT(52.345272 4.858524)";4.858524;52.345272;
187;"Olympiaplein";"Tram";"24";"24";5;"24 - Olympiaplein";"POINT(4.866257 52.34634)";"POINT(52.34634 4.866257)";4.866257;52.34634;
188;"Gerrit van der Veenstraat";"Tram";"5 | 24";"05|24";5;"5 | 24 - Gerrit van der Veenstraat";"POINT(4.877276 52.349099)";"POINT(52.349099 4.877276)";4.877276;52.349099;
189;"Nieuwmarkt";"Metro";"51 | 53 | 54";"51|53|54";7;"51 | 53 | 54 - Nieuwmarkt";"POINT(4.901301 52.37192)";"POINT(52.37192 4.901301)";4.901301;52.37192;
190;"Amstelstation";"Metro";"12 | 51 | 53 | 54";"12|51|53|54";7;"12 | 51 | 53 | 54 - Amstelstation";"POINT(4.918297 52.346663)";"POINT(52.346663 4.918297)";4.918297;52.346663;
191;"Van der Madeweg";"Metro";"50 | 53 | 54";"50|53|54";7;"50 | 53 | 54 - Van der Madeweg";"POINT(4.9303 52.329678)";"POINT(52.329678 4.9303)";4.9303;52.329678;
192;"Verrijn Stuartweg";"Metro";"53";"53";7;"53 - Verrijn Stuartweg";"POINT(4.966759 52.328624)";"POINT(52.328624 4.966759)";4.966759;52.328624;
193;"Station Ganzenhoef";"Metro";"53";"53";7;"53 - Station Ganzenhoef";"POINT(4.973044 52.323631)";"POINT(52.323631 4.973044)";4.973044;52.323631;
194;"Kraaiennest station";"Metro";"53";"53";7;"53 - Kraaiennest station";"POINT(4.979454 52.316618)";"POINT(52.316618 4.979454)";4.979454;52.316618;
195;"Gaasperplas";"Metro";"53";"53";7;"53 - Gaasperplas";"POINT(4.984549 52.311035)";"POINT(52.311035 4.984549)";4.984549;52.311035;
196;"Venserpolder";"Metro";"53";"53";7;"53 - Venserpolder";"POINT(4.946229 52.326737)";"POINT(52.326737 4.946229)";4.946229;52.326737;
197;"Witte de Withstraat";"Tram";"7 | 17";"07|17";5;"7 | 17 - Witte de Withstraat";"POINT(4.859676 52.364725)";"POINT(52.364725 4.859676)";4.859676;52.364725;
198;"Willem Schoutenstraat";"Tram";"7";"07";5;"7 - Willem Schoutenstraat";"POINT(4.852482 52.367174)";"POINT(52.367174 4.852482)";4.852482;52.367174;
199;"Admiraal De Ruijterweg";"Tram";"13 | 19";"13|19";5;"13 | 19 - Admiraal De Ruijterweg";"POINT(4.859967 52.371499)";"POINT(52.371499 4.859967)";4.859967;52.371499;
200;"J.P. Heijestraat";"Tram";"7 | 17";"07|17";5;"7 | 17 - J.P. Heijestraat";"POINT(4.862701 52.364811)";"POINT(52.364811 4.862701)";4.862701;52.364811;
201;"Station Zuid";"Tram";"5 | 25 | 50 | 51 | 52";"05|25|50|51|52";5;"5 | 25 | 50 | 51 | 52 - Station Zuid";"POINT(4.873144 52.340165)";"POINT(52.340165 4.873144)";4.873144;52.340165;
202;"Station Lelylaan";"Tram";"1 | 17 | 27 | 50 | 51";"01|17|27|50|51";5;"1 | 17 | 27 | 50 | 51 - Station Lelylaan";"POINT(4.834373 52.357894)";"POINT(52.357894 4.834373)";4.834373;52.357894;
203;"Station Sloterdijjk";"Tram";"19 | 50 | 51";"19|50|51";5;"19 | 50 | 51 - Station Sloterdijjk";"POINT(4.838885 52.388603)";"POINT(52.388603 4.838885)";4.838885;52.388603;
204;"Jan van Galenstraat";"Tram";"13 | 50 | 51";"13|50|51";5;"13 | 50 | 51 - Jan van Galenstraat";"POINT(4.835498 52.373127)";"POINT(52.373127 4.835498)";4.835498;52.373127;
205;"Burg. De Vlugtlaan";"Tram";"7 | 50 | 51";"07|50|51";5;"7 | 50 | 51 - Burg. De Vlugtlaan";"POINT(4.83788 52.378837)";"POINT(52.378837 4.83788)";4.83788;52.378837;
206;"Heemstedestraat";"Tram";"2 | 50 | 51";"02|50|51";5;"2 | 50 | 51 - Heemstedestraat";"POINT(4.834334 52.351505)";"POINT(52.351505 4.834334)";4.834334;52.351505;
207;"Amstelveenseweg";"Tram";"24 | 50 | 51";"24|50|51";5;"24 | 50 | 51 - Amstelveenseweg";"POINT(4.857271 52.338394)";"POINT(52.338394 4.857271)";4.857271;52.338394;
208;"Station RAI";"Tram";"4 | 50 | 51";"04|50|51";5;"4 | 50 | 51 - Station RAI";"POINT(4.890724 52.337006)";"POINT(52.337006 4.890724)";4.890724;52.337006;
209;"Centraal Station";"Tram";"2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54";"02|04|12|13|14|17|24|26|51|52|53|54";5;"2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54 - Centraal Station";"POINT(4.899773 52.378027)";"POINT(52.378027 4.899773)";4.899773;52.378027;
210;"Waterlooplein";"Tram";"14 | 51 | 53 | 54";"14|51|53|54";5;"14 | 51 | 53 | 54 - Waterlooplein";"POINT(4.902401 52.367349)";"POINT(52.367349 4.902401)";4.902401;52.367349;
211;"Weesperplein";"Tram";"1 | 7 | 19 | 51 | 53 | 54";"01|07|19|51|53|54";5;"1 | 7 | 19 | 51 | 53 | 54 - Weesperplein";"POINT(4.907978 52.361173)";"POINT(52.361173 4.907978)";4.907978;52.361173;
212;"Amstelstation";"Tram";"12 | 51 | 53 | 54";"12|51|53|54";5;"12 | 51 | 53 | 54 - Amstelstation";"POINT(4.918297 52.346663)";"POINT(52.346663 4.918297)";4.918297;52.346663;
213;"Station Diemen-Zuid";"Metro";"53";"53";7;"53 - Station Diemen-Zuid";"POINT(4.956447 52.33027)";"POINT(52.33027 4.956447)";4.956447;52.33027;
214;"Bob Haarmslaan";"Tram";"26";"26";5;"26 - Bob Haarmslaan";"POINT(4.968961 52.368939)";"POINT(52.368939 4.968961)";4.968961;52.368939;
215;"Westermarkt";"Tram";"13 | 17";"13|17";5;"13 | 17 - Westermarkt";"POINT(4.884106 52.374035)";"POINT(52.374035 4.884106)";4.884106;52.374035;
217;"Europaplein";"Metro";"4 | 52";"04|52";7;"4 | 52 - Europaplein";"POINT(4.891987 52.340218)";"POINT(52.340218 4.891987)";4.891987;52.340218;
218;"Noorderpark";"Metro";"52";"52";7;"52 - Noorderpark";"POINT(4.918652 52.388902)";"POINT(52.388902 4.918652)";4.918652;52.388902;
219;"Noord";"Metro";"52";"52";7;"52 - Noord";"POINT(4.932229 52.401877)";"POINT(52.401877 4.932229)";4.932229;52.401877;
220;"Rokin";"Metro";"4 | 14 | 24 | 52";"04|14|24|52";7;"4 | 14 | 24 | 52 - Rokin";"POINT(4.892378 52.3698)";"POINT(52.3698 4.892378)";4.892378;52.3698;
221;"Vijzelgracht";"Metro";"1 | 7 | 19 | 24 | 52";"01|07|19|24|52";7;"1 | 7 | 19 | 24 | 52 - Vijzelgracht";"POINT(4.890943 52.359632)";"POINT(52.359632 4.890943)";4.890943;52.359632;
222;"De Pijp";"Metro";"3 | 12 | 24 | 52";"03|12|24|52";7;"3 | 12 | 24 | 52 - De Pijp";"POINT(4.891107 52.35279)";"POINT(52.35279 4.891107)";4.891107;52.35279;
223;"Museumplein";"Tram";"2 | 5 | 12";"02|05|12";5;"2 | 5 | 12 - Museumplein";"POINT(4.8812322 52.3588611)";"POINT(52.3588611 4.8812322)";4.8812322;52.3588611;
224;"Hugo de Grootplein";"Tram";"3";"03";5;"3 - Hugo de Grootplein";"POINT(4.8727694 52.3746846)";"POINT(52.3746846 4.8727694)";4.8727694;52.3746846;
227;"Drenthepark";"Tram";"4";"04";5;"4 - Drenthepark";"POINT(4.8893095 52.3361529)";"POINT(52.3361529 4.8893095)";4.8893095;52.3361529;
228;"Bloemgracht";"Tram";"5";"05";5;"5 - Bloemgracht";"POINT(4.8764506 52.3743398)";"POINT(52.3743398 4.8764506)";4.8764506;52.3743398;
229;"Jan van Galenstraat";"Tram";"7";"07";5;"7 - Jan van Galenstraat";"POINT(4.8492708 52.3719979)";"POINT(52.3719979 4.8492708)";4.8492708;52.3719979;
231;"De Rijpstraat";"Tram";"19";"19";5;"19 - De Rijpstraat";"POINT(4.8578315 52.3771294)";"POINT(52.3771294 4.8578315)";4.8578315;52.3771294;
232;"VUmc";"Tram";"24";"24";5;"24 - VUmc";"POINT(4.8598291 52.3351784)";"POINT(52.3351784 4.8598291)";4.8598291;52.3351784;
233;"Muntplein";"Tram";"24";"24";5;"24 - Muntplein";"POINT(4.8931841 52.366371)";"POINT(52.366371 4.8931841)";4.8931841;52.366371;
234;"Kronenburg";"Tram";"5 | 25";"05|25";5;"5 | 25 - Kronenburg";"POINT(4.8703396 52.3164517)";"POINT(52.3164517 4.8703396)";4.8703396;52.3164517;
235;"Oranjebaan";"Tram";"5 | 25";"05|25";5;"5 | 25 - Oranjebaan";"POINT(4.8717813 52.3029039)";"POINT(52.3029039 4.8717813)";4.8717813;52.3029039;
236;"Eerste Marnixdwarsstraat";"Tram";"5";"05";5;"5 - Eerste Marnixdwarsstraat";"POINT(4.8820335 52.3830358)";"POINT(52.3830358 4.8820335)";4.8820335;52.3830358;
237;"Plantage Lepellaan";"Tram";"14";"14";5;"14 - Plantage Lepellaan";"POINT(4.9154802 52.3651306)";"POINT(52.3651306 4.9154802)";4.9154802;52.3651306;
238;"Ouderkerkslaan";"Tram";"25";"25";5;"25 - Ouderkerkslaan";"POINT(4.8677556 52.2965852)";"POINT(52.2965852 4.8677556)";4.8677556;52.2965852;
239;"Sportlaan";"Tram";"25";"25";5;"25 - Sportlaan";"POINT(4.8636541 52.2901479)";"POINT(52.2901479 4.8636541)";4.8636541;52.2901479;
240;"Meent";"Tram";"25";"25";5;"25 - Meent";"POINT(4.8571498 52.2810117)";"POINT(52.2810117 4.8571498)";4.8571498;52.2810117;
241;"Brink";"Tram";"25";"25";5;"25 - Brink";"POINT(4.8518489 52.2805421)";"POINT(52.2805421 4.8518489)";4.8518489;52.2805421;
242;"Poortwachter";"Tram";"25";"25";5;"25 - Poortwachter";"POINT(4.8454439 52.2832311)";"POINT(52.2832311 4.8454439)";4.8454439;52.2832311;
243;"Sacharovlaan";"Tram";"25";"25";5;"25 - Sacharovlaan";"POINT(4.8324823 52.2822746)";"POINT(52.2822746 4.8324823)";4.8324823;52.2822746;
244;"Westwijk";"Tram";"25";"25";5;"25 - Westwijk";"POINT(4.8307936 52.2745937)";"POINT(52.2745937 4.8307936)";4.8307936;52.2745937;

