node_id,x,y,unique_agency_id,route_type,stop_id,stop_name,parent_station,stop_code,wheelchair_boarding,zone_id,location_type,net_type
2340189_connexxion,4.837161,52.423527,connexxion,3.0,2340189,"Zaandam, Haven 132",,37221010,0.0,CXX:37221010,0,transit
2396855_ebs,4.954595,52.421974,ebs,3.0,2396855,"Schouw, Splitsing",stoparea:2107,37201020,1.0,,0,transit
2262424_connexxion,4.843249,52.428121,connexxion,3.0,2262424,"Zaandam, Hotels Vijfhoek",stoparea:358833,37223570,1.0,CXX:37223570,0,transit
2262648_connexxion,4.807169,52.429181,connexxion,3.0,2262648,"Zaandam, Grote Tocht",stoparea:358815,37225030,1.0,CXX:37225030,0,transit
2396969_ebs,5.071816,52.420223,ebs,3.0,2396969,"Uitdam, Dorpsstraat",,37371030,0.0,,0,transit
648510_connexxion,4.807466,52.341346,connexxion,3.0,648510,"Amsterdam, Sportpark Sloten",,57232200,0.0,CXX:57232200,0,transit
2296012_connexxion,4.862412,52.306064,connexxion,3.0,2296012,"Amstelveen, Gr. v. Prinstererlaan",stoparea:359478,57242090,1.0,CXX:57242090,0,transit
2397837_ebs,4.946442,52.310497,ebs,3.0,2397837,"Amsterdam-ZO, Hoogoorddreef/Atlas",stoparea:342118,57252100,1.0,,0,transit
2260224_connexxion,4.737919,52.377888,connexxion,3.0,2260224,"Zwanenburg, Troelstralaan",,55232290,0.0,CXX:55232290,0,transit
2262448_connexxion,4.891906,52.421117,connexxion,3.0,2262448,"Amsterdam, Molenaarsweg",stoparea:358818,57112990,0.0,CXX:57112990,0,transit
2397809_ebs,4.845068,52.392457,ebs,3.0,2397809,"Amsterdam, Basisweg",stoparea:299931,57120020,0.0,,0,transit
511085_connexxion,4.858691,52.339123,connexxion,3.0,511085,"Amsterdam, Amstelveenseweg",stoparea:121298,57142881,1.0,CXX:57142881,0,transit
354305_connexxion,4.780343,52.397563,connexxion,3.0,354305,"Amsterdam, Dortmuiden",stoparea:121628,57221210,1.0,CXX:57221210,0,transit
381892_connexxion,4.77798,52.332138,connexxion,3.0,381892,"Badhoevedorp, Badhoevedorp Oost",stoparea:123974,57230330,0.0,CXX:57230330,0,transit
2259076_connexxion,4.856494,52.305606,connexxion,3.0,2259076,"Amstelveen, Heemraadschapslaan",,57242480,1.0,CXX:57242480,0,transit
521341_connexxion,4.859558,52.283375,connexxion,3.0,521341,"Amstelveen, Logger",stoparea:122028,57242520,1.0,CXX:57242520,0,transit
521146_connexxion,4.859926,52.283287,connexxion,3.0,521146,"Amstelveen, Logger",stoparea:122028,57242530,1.0,CXX:57242530,0,transit
2175387_arriva,4.754371,52.30452,arriva,3.0,2175387,"Schiphol, P12/Vrachtgebouw",stoparea:201303,57330490,1.0,,0,transit
103866_gvb,5.035168,52.309239,gvb,3.0,103866,"Weesp, Casparuslaan",stoparea:32962,00652,1.0,,0,transit
365801_connexxion,5.035154,52.309203,connexxion,3.0,365801,"Weesp, Casparuslaan",stoparea:123658,58360050,1.0,CXX:58360050,0,transit
2367957_allgo_(keolis),4.939907,52.347897,allgo_(keolis),3.0,2367957,"Amsterdam, Kruislaan",stoparea:368156,30000070,0.0,,0,transit
14798_gvb,4.94797,52.342849,gvb,0.0,14798,"Amsterdam, Brinkstraat",stoparea:2379,00074,0.0,,0,transit
103169_gvb,4.978681,52.316032,gvb,3.0,103169,"Amsterdam, Kraaienneststation",stoparea:28104,00141,1.0,,0,transit
626954_connexxion,4.951331,52.32192,connexxion,3.0,626954,"Amsterdam, Dennenrode",,57250410,1.0,CXX:57250410,0,transit
15183_gvb,4.98396,52.319313,gvb,3.0,15183,"Amsterdam, Koornhorst",stoparea:2294,00135,0.0,,0,transit
2397836_ebs,4.959211,52.29717,ebs,3.0,2397836,"Amsterdam-ZO, Station Holendrecht",stoparea:299928,57251980,1.0,,0,transit
14373_gvb,4.939389,52.328005,gvb,3.0,14373,"Duivendrecht, Kruidenommegang",stoparea:2276,00257,1.0,,0,transit
15035_gvb,4.946093,52.335328,gvb,3.0,15035,"Duivendrecht, Industrieweg",stoparea:2599,00436,1.0,,0,transit
15169_gvb,4.944697,52.357631,gvb,3.0,15169,"Amsterdam, C. Mac Gillavrylaan",stoparea:2282,00556,0.0,,0,transit
15657_gvb,4.962778,52.341151,gvb,3.0,15657,"Diemen, Burg. Bickerstraat",stoparea:2837,00994,1.0,,0,transit
322640_gvb,4.94948,52.393608,gvb,3.0,322640,"Amsterdam, De Egmondenstraat",stoparea:110908,01069,1.0,,0,transit
1379038_gvb,4.913596,52.387439,gvb,3.0,1379038,"Amsterdam, Hagedoornplein",stoparea:2416,01130,1.0,,0,transit
14939_gvb,4.896108,52.410691,gvb,3.0,14939,"Amsterdam, Ananasplein",stoparea:2597,01229,0.0,,0,transit
2343482_gvb,4.907662,52.398282,gvb,3.0,2343482,"Amsterdam, Floraweg",stoparea:372360,01407,1.0,,0,transit
