BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03631201,655,405,0.11699999999999999,0.368,0.271,0.5,165,75,,0.26,0.02,28420.0,538,47.385,357.615,149.04,109.75500000000001,,0.11450381679389313
BU03631300,2080,1090,0.139,0.49700000000000005,0.156,0.4,415,720,,0.1,0.09,22739.0,366,151.51000000000002,938.49,541.73,170.04,,0.34615384615384615
BU03631301,2755,1690,0.218,0.627,0.10099999999999999,0.3,455,1000,25.9,0.11,0.1,27622.0,337,368.42,1321.58,1059.63,170.69,,0.3629764065335753
BU03631302,1010,610,0.151,0.5529999999999999,0.146,0.4,205,270,,0.06,0.05,20653.0,329,92.11,517.89,337.33,89.05999999999999,,0.26732673267326734
BU03631303,1670,930,0.14400000000000002,0.561,0.14300000000000002,0.3,340,400,,0.08,0.08,22078.0,316,133.92000000000002,796.0799999999999,521.73,132.99,,0.23952095808383234
BU03631304,1295,765,0.158,0.562,0.111,0.4,235,390,,0.06,0.06,22653.0,344,120.87,644.13,429.93000000000006,84.915,,0.30115830115830117
BU03631305,1950,1095,0.177,0.56,0.132,0.4,335,690,,0.12,0.12,16388.0,365,193.815,901.185,613.2,144.54000000000002,,0.35384615384615387
BU03631306,0,0,,,,,0,0,,0.26,0.24,,,,,,,,
BU03631307,5,5,,,,,5,5,,0.63,0.63,,,,,,,,1.0
BU03631400,1380,830,0.135,0.534,0.17800000000000002,0.3,285,350,,0.07,0.06,21709.0,390,112.05000000000001,717.95,443.22,147.74,,0.2536231884057971
BU03631401,885,555,0.18899999999999997,0.614,0.109,0.3,180,240,,0.05,0.04,24902.0,353,104.89499999999998,450.105,340.77,60.495,,0.2711864406779661
BU03631402,1205,755,0.168,0.635,0.099,0.3,220,420,,0.07,0.06,20480.0,321,126.84,628.16,479.425,74.745,,0.34854771784232363
BU03631403,3720,2320,0.165,0.529,0.131,0.3,925,990,31.3,0.11,0.1,35855.0,321,382.8,1937.2,1227.28,303.92,,0.2661290322580645
BU03631404,2875,1795,0.139,0.48100000000000004,0.154,0.3,750,660,32.9,0.1,0.1,29234.0,330,249.50500000000002,1545.495,863.3950000000001,276.43,,0.22956521739130434
BU03631405,3090,1710,0.105,0.41100000000000003,0.23600000000000002,0.4,680,690,36.6,0.13,0.11,27380.0,433,179.54999999999998,1530.45,702.8100000000001,403.56,,0.22330097087378642
BU03631500,1345,615,0.083,0.33,0.26,0.3,250,320,,0.07,0.06,21142.0,459,51.045,563.955,202.95000000000002,159.9,,0.2379182156133829
BU03631501,10,5,,,,,5,0,,0.28,0.26,43.0,,,,,,,0.0
BU03631502,70,30,,,,,10,5,,0.15,0.14,505.0,,,,,,,0.07142857142857142
BU03631503,1050,620,0.12300000000000001,0.527,0.157,0.4,220,330,,0.07,0.06,18082.0,372,76.26,543.74,326.74,97.34,,0.3142857142857143
BU03631600,3845,2380,0.135,0.528,0.165,0.3,960,755,34.2,0.21,0.18,21019.0,368,321.3,2058.7,1256.64,392.70000000000005,,0.19635890767230169
BU03631601,3250,2075,0.162,0.525,0.158,0.3,750,795,36.2,0.12,0.11,28727.0,347,336.15000000000003,1738.85,1089.375,327.85,,0.24461538461538462
BU03631602,1210,685,0.107,0.452,0.191,0.4,235,245,,0.08,0.06,19427.0,431,73.295,611.705,309.62,130.835,,0.2024793388429752
BU03631700,4640,2890,0.10400000000000001,0.475,0.21,0.4,1215,745,38.8,0.26,0.22,21352.0,446,300.56,2589.44,1372.75,606.9,,0.16056034482758622
