WK_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,nr_migr,nr_dutch,p_w_migr,p_nw_migr,p_dutch,p_migr
WK036347,12725,6855,0.065,0.32799999999999996,0.376,0.6,3915,1300,64.2,1.39,1.31,9690.0,973,445.575,6409.425,2248.4399999999996,2577.48,5215,7510,0.30766208251473476,0.10216110019646366,0.5901768172888016,0.40982318271119844
WK036348,11820,6850,0.128,0.495,0.195,0.5,2560,2730,36.4,1.07,0.96,12351.0,445,876.8000000000001,5973.2,3390.75,1335.75,5290,6530,0.21658206429780033,0.23096446700507614,0.5524534686971235,0.44754653130287647
WK036349,8630,4075,0.057999999999999996,0.266,0.47600000000000003,0.8,2715,890,64.3,0.94,0.88,9766.0,1099,236.35,3838.65,1083.95,1939.7,3605,5025,0.3146002317497103,0.10312862108922363,0.5822711471610661,0.41772885283893396
WK036350,0,0,,,,,0,0,,0.4,0.4,,,,,,,0,0,,,,
WK036351,8250,3135,0.092,0.294,0.34700000000000003,0.7,1315,3135,31.1,0.73,0.66,12448.0,430,288.42,2846.58,921.6899999999999,1087.845,4450,3800,0.1593939393939394,0.38,0.46060606060606063,0.5393939393939394
WK036352,15100,8435,0.078,0.426,0.272,0.5,3340,1895,40.7,1.01,0.99,15270.0,516,657.93,7777.07,3593.31,2294.32,5235,9865,0.22119205298013245,0.12549668874172185,0.6533112582781457,0.3466887417218543
WK036353,5305,3330,0.128,0.5660000000000001,0.14400000000000002,0.4,1065,1115,31.9,0.29,0.26,20716.0,396,426.24,2903.76,1884.7800000000002,479.52000000000004,2180,3125,0.20075400565504242,0.21017907634307256,0.589066918001885,0.410933081998115
WK036354,9105,5715,0.141,0.5489999999999999,0.157,0.4,1705,1820,34.1,1.1,0.97,9438.0,384,805.8149999999999,4909.185,3137.5349999999994,897.255,3525,5580,0.1872597473915431,0.19989017023613398,0.6128500823723229,0.3871499176276771
WK036355,11300,6360,0.12300000000000001,0.5720000000000001,0.165,0.5,2035,3060,31.0,1.67,1.58,7143.0,343,782.2800000000001,5577.72,3637.9200000000005,1049.4,5095,6205,0.18008849557522125,0.27079646017699116,0.5491150442477876,0.4508849557522124
WK036356,15870,8550,0.083,0.47100000000000003,0.26,0.5,3325,2435,35.7,3.02,2.83,5600.0,458,709.6500000000001,7840.35,4027.05,2223.0,5760,10110,0.20951480781348455,0.1534341524889729,0.6370510396975425,0.3629489603024575
